frame,time_sec,vo_x,vo_y,vo_theta_deg,speed_kmh,steering_deg,action,alert_level,min_obs_dist,features
54,2.7,-0.03,9.71,-3.35,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
55,2.75,-0.03,9.71,-3.49,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
56,2.8,-0.03,9.71,-3.34,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
57,2.85,-0.03,9.71,-3.35,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
58,2.9,-0.03,9.71,-3.49,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
59,2.95,-0.03,9.71,1.09,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
60,3.0,-0.03,9.71,4.09,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
61,3.05,-0.03,9.71,4.12,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
62,3.1,-0.03,9.71,4.11,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
63,3.15,-0.03,9.71,8.7,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
64,3.2,-0.03,9.71,8.36,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
65,3.25,-0.03,9.71,8.23,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
66,3.3,-0.03,9.71,11.42,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
67,3.35,-0.03,9.71,11.34,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
68,3.4,-0.03,9.71,6.76,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
69,3.45,-0.03,9.71,6.73,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
70,3.5,-0.03,9.71,6.61,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
71,3.55,-0.03,9.71,6.66,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
72,3.6,-0.03,9.71,6.53,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
73,3.65,-0.03,9.71,6.51,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
74,3.7,-0.03,9.71,6.4,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
75,3.75,-0.03,9.71,6.37,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
76,3.8,-0.03,9.71,6.31,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
77,3.85,-0.03,9.71,6.27,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
78,3.9,-0.03,9.71,10.86,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
79,3.95,-0.03,9.71,10.74,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
80,4.0,-0.03,9.71,10.86,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
81,4.05,-0.03,9.71,10.73,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
82,4.1,-0.03,9.71,10.73,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
83,4.15,-0.03,9.71,10.61,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
84,4.2,-0.03,9.71,15.19,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
85,4.25,-0.03,9.71,15.12,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
86,4.3,-0.03,9.71,15.1,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
87,4.35,-0.03,9.71,14.98,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
88,4.4,-0.03,9.71,14.92,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
89,4.45,-0.03,9.71,14.8,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
90,4.5,-0.03,9.71,14.89,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
91,4.55,-0.03,9.71,14.77,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
92,4.6,-0.03,9.71,18.27,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
93,4.65,-0.03,9.71,18.24,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
94,4.7,-0.03,9.71,18.24,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
95,4.75,-0.03,9.71,18.11,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
96,4.8,-0.03,9.71,18.09,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
97,4.85,-0.03,9.71,22.67,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
98,4.9,-0.03,9.71,22.52,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
99,4.95,-0.03,9.71,22.66,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
100,5.0,-0.03,9.71,22.66,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
101,5.05,-0.03,9.71,22.66,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
102,5.1,-0.03,9.71,22.66,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
103,5.15,-0.03,9.71,22.65,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
104,5.2,-0.03,9.71,22.54,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
105,5.25,-0.03,9.71,22.44,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
106,5.3,-0.03,9.71,27.02,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
107,5.35,-0.03,9.71,26.9,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
108,5.4,-0.03,9.71,27.02,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
109,5.45,-0.03,9.71,27.02,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
110,5.5,-0.03,9.71,22.43,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
111,5.55,-0.03,9.71,22.44,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
112,5.6,-0.03,9.71,22.31,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
113,5.65,-0.03,9.71,22.19,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
114,5.7,-0.03,9.71,22.2,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
115,5.75,-0.03,9.71,22.27,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
116,5.8,-0.03,9.71,20.43,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
117,5.85,-0.03,9.71,20.45,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
118,5.9,-0.03,9.71,19.88,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
119,5.95,-0.03,9.71,20.05,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
120,6.0,-0.03,9.71,15.47,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
121,6.05,-0.03,9.71,20.05,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
122,6.1,-0.03,9.71,21.24,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
123,6.15,-0.03,9.71,16.66,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
124,6.2,-0.03,9.71,12.08,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
125,6.25,-0.03,9.71,7.96,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
126,6.3,-0.03,9.71,8.73,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
127,6.35,-0.03,9.71,8.72,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
128,6.4,-0.03,9.71,8.7,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
129,6.45,-0.03,9.71,13.29,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
130,6.5,-0.03,9.71,13.18,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
